,Asymmetry,Groove,Area,Type
0,2.221,5.22,15.26,1
1,1.018,4.956,14.88,1
2,2.699,4.825,14.29,1
3,2.259,4.805,13.84,1
4,1.355,5.175,16.14,1
5,2.462,4.956,14.38,1
6,3.5860000000000003,5.2189999999999985,14.69,1
7,2.7,5.0,14.11,1
8,2.04,5.877000000000002,16.63,1
9,1.969,5.533,16.44,1
10,4.543,5.314,15.26,1
11,1.717,5.001,14.03,1
12,3.986,4.738,13.89,1
13,3.136,4.872,13.78,1
14,2.932,4.825,13.74,1
15,4.185,4.7810000000000015,14.59,1
16,5.234,4.7810000000000015,13.99,1
17,1.599,5.046,15.69,1
18,1.767,4.649,14.7,1
19,4.102,4.914,12.72,1
20,3.072,5.176,14.16,1
21,2.688,5.2189999999999985,14.11,1
22,0.7651,5.091,15.88,1
23,1.415,4.961,12.08,1
24,1.791,5.001,15.01,1
25,0.903,5.307,16.19,1
26,3.373,4.825,13.02,1
27,2.504,4.869,12.74,1
28,2.754,5.038,14.11,1
29,3.531,5.097,13.45,1
30,0.8551,5.056,13.16,1
31,3.412,5.228,15.49,1
32,3.92,5.299,14.09,1
33,2.124,5.012,13.94,1
34,2.129,5.36,15.05,1
35,2.27,5.443,16.12,1
36,2.823,5.527,16.2,1
37,2.9560000000000004,5.484,17.08,1
38,3.112,5.309,14.8,1
39,6.685,5.001,14.28,1
40,2.587,5.178,13.54,1
41,2.249,5.176,13.5,1
42,2.461,4.783,13.16,1
43,4.711,5.528,15.5,1
44,3.128,5.18,15.11,1
45,1.56,4.961,13.8,1
46,1.367,5.1320000000000014,15.36,1
47,2.958,5.175,14.99,1
48,2.704,5.1110000000000015,14.79,1
49,2.129,5.351,14.86,1
50,3.975,5.144,14.43,1
51,5.593,5.136,15.78,1
52,4.1160000000000005,5.396,14.49,1
53,3.3280000000000003,5.224,14.33,1
54,1.481,5.487,14.52,1
55,1.933,5.439,15.03,1
56,2.802,5.044,14.46,1
57,1.142,5.088,14.92,1
58,1.999,5.222,15.38,1
59,1.5019999999999998,4.519,12.11,1
60,2.7,4.607,11.42,1
61,2.269,4.703,11.23,1
62,3.22,4.605,12.36,1
63,4.157,5.088,13.22,1
64,1.176,4.782,12.78,1
65,2.352,4.607,12.88,1
66,1.3130000000000002,5.15,14.34,1
67,2.217,5.1320000000000014,14.01,1
68,1.464,5.3,14.37,1
69,3.533,5.067,12.73,1
70,4.0760000000000005,6.06,17.63,2
71,4.675,5.877000000000002,16.84,2
72,4.539,5.791,17.26,2
73,2.9360000000000004,6.079,19.11,2
74,4.004,5.841,16.82,2
75,4.92,5.795,16.77,2
76,3.824,5.9220000000000015,17.32,2
77,4.4510000000000005,6.4510000000000005,20.71,2
78,5.064,6.362,18.94,2
79,2.858,5.746,17.12,2
80,5.532,5.88,16.53,2
81,5.324,5.879,18.72,2
82,5.172999999999999,6.187,20.2,2
83,1.472,6.273,19.57,2
84,2.962,6.185,19.51,2
85,2.443,6.197,18.27,2
86,1.649,6.109,18.88,2
87,3.691,6.497999999999998,18.98,2
88,5.78,6.231,21.18,2
89,5.016,6.3210000000000015,20.88,2
90,1.955,6.449,20.1,2
91,3.12,6.053,18.76,2
92,3.237,6.053,18.81,2
93,6.001,5.877000000000002,18.59,2
94,4.933,6.448,18.36,2
95,3.696,5.9670000000000005,16.87,2
96,3.477,6.238,19.31,2
97,2.144,6.4529999999999985,18.98,2
98,2.853,6.273,18.17,2
99,2.188,6.097,18.72,2
100,4.217,5.6179999999999986,16.41,2
101,2.068,5.8370000000000015,17.99,2
102,4.308,6.009,19.46,2
103,3.357,6.229,19.18,2
104,3.3680000000000003,6.148,18.95,2
105,2.553,5.879,18.83,2
106,2.843,6.2,18.85,2
107,3.747,5.9289999999999985,17.63,2
108,3.252,6.55,19.94,2
109,1.7380000000000002,5.894,18.55,2
110,2.235,5.794,18.45,2
111,3.678,5.965,19.38,2
112,2.109,5.924,19.13,2
113,6.682,6.053,19.14,2
114,4.677,6.316,20.97,2
115,2.248,6.1629999999999985,19.06,2
116,4.334,5.75,18.96,2
117,3.084,6.185,19.15,2
118,3.639,5.966,18.89,2
119,3.063,6.32,20.03,2
120,5.901,6.188,20.24,2
121,3.619,6.011,18.14,2
122,4.2860000000000005,5.7029999999999985,16.17,2
123,2.984,5.905,18.43,2
124,3.3360000000000003,5.144,15.99,2
125,4.188,5.992000000000001,18.75,2
126,4.391,6.102,18.65,2
127,2.257,5.919,17.98,2
128,1.91,6.185,20.16,2
129,5.3660000000000005,5.6610000000000005,17.55,2
130,2.837,5.9620000000000015,18.3,2
131,2.908,5.949,18.94,2
132,4.462,5.795,15.38,2
133,4.266,5.795,16.16,2
134,4.972,5.847,15.56,2
135,3.6,5.439,15.38,2
136,3.526,5.971,17.36,2
137,2.64,5.879,15.57,2
138,2.725,5.752000000000002,15.6,2
139,3.769,5.9220000000000015,16.23,2
140,5.3039999999999985,5.395,13.07,3
141,7.035,5.44,13.32,3
142,5.995,5.307,13.34,3
143,5.4689999999999985,5.221,12.22,3
144,4.471,5.178,11.82,3
145,6.169,5.275,11.21,3
146,2.221,5.1320000000000014,11.43,3
147,4.421,5.002,12.49,3
148,3.26,5.316,12.7,3
149,5.4620000000000015,5.194,10.79,3
150,5.195,5.307,11.83,3
151,6.992000000000001,5.27,12.01,3
152,4.756,5.36,12.26,3
153,3.332,5.001,11.18,3
154,4.048,5.263,11.36,3
155,5.813,5.2189999999999985,11.19,3
156,3.347,5.003,11.34,3
157,4.825,5.22,12.13,3
158,4.378,5.31,11.75,3
159,5.388,5.31,11.49,3
160,3.082,5.4910000000000005,12.54,3
161,4.271,5.308,12.02,3
162,4.988,5.046,12.05,3
163,4.419,5.176,12.55,3
164,6.388,5.049,11.14,3
165,2.201,5.056,12.1,3
166,4.924,5.27,12.44,3
167,3.638,5.337999999999999,12.15,3
168,4.337,5.1320000000000014,11.35,3
169,3.5210000000000004,5.088,11.24,3
170,6.735,5.1629999999999985,11.02,3
171,6.715,4.956,11.55,3
172,4.309,5.0,11.27,3
173,5.587999999999999,5.089,11.4,3
174,5.182,5.185,10.83,3
175,4.773,5.063,10.8,3
176,5.335,5.092,11.26,3
177,4.702,4.963,10.74,3
178,5.876,5.002,11.48,3
179,1.661,5.178,12.21,3
180,4.957,4.825,11.41,3
181,4.987,5.147,12.46,3
182,4.857,5.158,12.19,3
183,5.209,5.135,11.65,3
184,6.185,5.316,12.89,3
185,4.062,5.182,11.56,3
186,4.898,5.352,11.81,3
187,4.1789999999999985,4.956,10.91,3
188,7.524,4.957,11.23,3
189,4.975,4.794,10.59,3
190,5.398,5.045,10.93,3
191,3.985,5.001,11.27,3
192,3.597,5.1320000000000014,11.87,3
193,4.853,5.089,10.82,3
194,4.132,5.012,12.11,3
195,4.873,4.914,12.8,3
196,5.483,4.958,12.79,3
197,4.67,5.091,13.37,3
198,3.306,5.231,12.62,3
199,2.8280000000000003,4.83,12.76,3
200,5.472,5.045,12.38,3
201,2.3,4.745,12.67,3
202,4.051,4.828,11.18,3
203,8.456,5.0,12.7,3
204,3.919,5.001,12.37,3
205,3.631,4.87,12.19,3
206,4.325,5.003,11.23,3
207,8.315,5.056,13.2,3
208,3.5980000000000003,5.044,11.84,3
209,5.6370000000000005,5.063,12.3,3
